@relation drinks

@attribute beer_servings numeric
@attribute spirit_servings numeric
@attribute wine_servings numeric
@attribute total_litres_of_pure_alcohol numeric

@data
0,0,0,0
89,132,54,4.9
25,0,14,0.7
245,138,312,12.4
217,57,45,5.9
102,128,45,4.9
193,25,221,8.3
21,179,11,3.8
261,72,212,10.4
279,75,191,9.7
21,46,5,1.3
122,176,51,6.3
42,63,7,2
0,0,0,0
143,173,36,6.3
142,373,42,14.4
295,84,212,10.5
263,114,8,6.8
34,4,13,1.1
23,0,0,0.4
167,41,8,3.8
76,173,8,4.6
173,35,35,5.4
245,145,16,7.2
31,2,1,0.6
231,252,94,10.3
25,7,7,4.3
88,0,0,6.3
37,1,7,4
144,56,16,4
57,65,1,2.2
147,1,4,5.8
240,122,100,8.2
17,2,1,1.8
15,1,1,0.4
130,124,172,7.6
79,192,8,5
159,76,3,4.2
1,3,1,0.1
76,1,9,1.7
0,254,74,5.9
149,87,11,4.4
230,87,254,10.2
93,137,5,4.2
192,154,113,8.2
361,170,134,11.8
0,0,0,0
32,3,1,2.3
224,81,278,10.4
15,44,3,1.1
52,286,26,6.6
193,147,9,6.2
162,74,3,4.2
6,4,1,0.2
52,69,2,2.2
92,0,233,5.8
18,0,0,0.5
224,194,59,9.5
20,3,0,0.7
77,35,1,2
263,133,97,10
127,151,370,11.8
347,98,59,8.9
8,0,1,2.4
52,100,149,5.4
346,117,175,11.3
31,3,10,1.8
133,112,218,8.3
199,438,28,11.9
53,69,2,2.2
9,0,2,0.2
28,31,21,2.5
93,302,1,7.1
1,326,1,5.9
69,98,2,3
234,215,185,11.3
233,61,78,6.6
9,114,0,2.2
5,1,0,0.1
0,0,0,0
9,3,0,0.2
313,118,165,11.4
63,69,9,2.5
85,42,237,6.5
82,97,9,3.4
77,202,16,7
6,21,1,0.5
124,246,12,6.8
58,22,2,1.8
21,34,1,1
0,0,0,0
31,97,6,2.4
62,0,123,6.2
281,216,62,10.5
20,55,31,1.9
82,29,0,2.8
19,152,2,3.1
0,0,0,0
343,244,56,12.9
236,133,271,11.4
26,15,4,0.8
8,11,1,1.5
13,4,0,0.3
0,0,0,0
5,1,1,0.6
149,100,120,6.6
0,0,0,0
0,0,0,0
98,31,18,2.6
238,68,5,5.5
62,50,18,2.3
0,0,0,0
77,189,8,4.9
31,114,128,4.9
12,6,10,0.5
47,18,5,1.3
5,1,0,0.1
376,3,1,6.8
49,0,8,1
5,6,0,0.2
251,88,190,9.4
203,79,175,9.3
78,118,1,3.5
3,2,1,0.1
42,5,2,9.1
188,200,7,7
169,71,129,6.7
22,16,1,0.7
0,0,0,0
306,63,23,6.9
285,104,18,7.2
44,39,1,1.5
213,117,74,7.3
163,160,21,6.1
71,186,1,4.6
343,215,56,10.9
194,67,339,11
1,42,7,0.9
140,16,9,9.8
109,226,18,6.3
297,122,167,10.4
247,326,73,11.5
43,2,0,6.8
194,205,32,7.7
171,315,71,10.1
120,221,11,6.3
105,18,24,2.6
0,0,0,0
56,38,140,4.2
0,5,0,0.1
9,1,7,0.3
283,131,127,9.6
157,25,51,4.1
25,3,2,6.7
60,12,11,1.5
196,293,116,11.4
270,51,276,10.6
56,11,1,1.2
0,0,0,0
225,76,81,8.2
284,157,112,10
16,104,0,2.2
8,13,0,1.7
128,178,7,5.6
90,2,2,4.7
152,60,186,7.2
185,100,280,10.2
5,35,16,1
2,15,0,0.3
99,258,1,6.4
106,27,86,3.9
1,1,4,0.1
36,2,19,1.3
36,21,5,1.1
197,156,7,6.4
51,3,20,1.3
51,22,7,1.4
19,71,32,2.2
6,41,9,1
45,9,0,8.3
206,237,45,8.9
16,135,5,2.8
219,126,195,10.4
36,6,1,5.7
249,158,84,8.7
115,35,220,6.6
25,101,8,2.4
21,18,11,0.9
333,100,3,7.7
111,2,1,2
6,0,0,0.1
32,19,4,2.5
64,18,4,4.7
